S/N,Code,Description,Table,Classification
1,SD700A,"AORTA, ANEURYSM, JUXTARENAL TYPE",6B,Existing
2,SD701A,"AORTA, RUPTURED  AORTIC ANEURYSM (THORACIC OR ABDOMINAL), ENDO-VASCULAR AORTIC REPAIR (EVAR)",6C,Existing
3,SD702A,"AORTIC DISSECTION, ENDOVASCULAR FENESTRATION",3B,Existing
4,SD703A,"AORTIC DISSECTION, ENDOVASCULAR STENT GRAFT REPAIR",5C,Existing
5,SD704A,ARRHYTHMIA SURGERY MAZE (INCLUDES THE MINI- MAZE PROCEDURE WITH RADIOFREQUENCY CLAM),6B,Existing
6,SD705A,"ARTERIOVENOUS FISTULA GRAFT, THROMBECTOMY",3A,Existing
7,SD706A,"ARTERIOVENOUS FISTULA, ANGIOGRAM",2A,Existing
8,SD707A,"ARTERIOVENOUS FISTULA, ANGIOPLASTY WITH/WITHOUT STENTING",3A,Existing
9,SD708A,"ARTERIOVENOUS FISTULA, LIGATION OF SIDE BRANCH",2A,Existing
10,SD709A,"ARTERIOVENOUS FISTULA, SYNTHETIC GRAFT",5A,Existing
11,SD710A,"ARTERY,LARGE, INJURY, REPAIR WITH GRAFTING",5A,Existing
12,SD711A,"ARTERY,SMALL, INJURY, REPAIR (MULTIPLE)",5C,Existing
13,SD712A,"ARTERY, SMALL, INJURY, REPAIR (SINGLE)",4A,Existing
14,SD713A,"ARTERY, BYPASS, ABOVE/BELOW-KNEE WITH VEIN",5C,Existing
15,SD714A,"ARTERY, BYPASS, DISTAL LEG/PEDAL WITH VEIN",6B,Existing
16,SD715A,"ARTERY, BYPASS, VISCERAL, MULTIPLE",7A,Existing
17,SD716A,"ARTERY, BYPASS, VISCERAL, SINGLE",6B,Existing
18,SD742A,"ARTERY, PERIPHERAL ARTERIAL, DIAGNOSTIC INTRAVASCULAR ULTRASOUND (IVUS)",1A,New
19,SD718A,"ARTERY, PLACEMENT ARTERIAL (PA) LINE INSERTION",MSP,Existing
20,SD719A,"ARTERY, STENOSIS/OCCLUSION, PERCUTANEOUS ATHERECTOMY (MECHANICAL OR  LASER)",3B,Existing
21,SD720A,"ARTERY, STENOSIS/OCCLUSION (E.G. PULMONARY, COARCTATION, SUBINTIMAL, BELOW KNEE), PERCUTANEOUS ANGIOPLASTY (PTA), DIFFICULT",4A,Existing
22,SD721A,"ARTERY, STENOSIS/OCCLUSION, PERCUTANEOUS TRANSLUMINAL ANGIOPLASTY (PTA), SIMPLE",3A,Existing
23,SD722A,"ARTERY, THROMBOSIS, PERCUTANEOUS CATHETER DIRECTED THROMBOLYSIS, WITH OR WITHOUT ANGIOPLASTY/STENTING",4A,Existing
24,SD723A,"ARTERY, TUMOUR, TRANS-ARTERIAL CHEMO- EMBOLIZATION (TACE)",4A,Existing
25,SD724A,"ARTERY, TUMOUR, TRANS-ARTERIAL RADIO NUCLIDE INFUSION",4B,Existing
