S/N,Code,Description,Table,Classification
1,SG700B,"BLADDER, CYSTOSCOPIC INTRADETRUSOR INJECTION OF BOTULINUM",2C,Existing
2,SG701B,"BLADDER/URETER, LYMPHOLYSIS FOR CHYLURIA, MIS",4A,Existing
3,SG702B,"BLADDER, DIVERTICULUM, MIS EXCISION",4A,Existing
4,SG703B,"BLADDER, VARIOUS LESIONS, IMAGE GUIDED SUPRAPUBIC CYSTOSTOMY",1C,Existing
5,SG704B,"BLADDER, URACHAL FISTULA, MIS  EXCISION",4A,Existing
6,SG705B,"BLADDER, VARIOUS LESIONS, CATHETERISATION",MSP,Existing
7,SG706B,"BLADDER, VARIOUS LESIONS, MIS PARTIAL EXCISION",4A,Existing
8,SG707B,"BLADDER, VARIOUS LESIONS, TOTAL RADICAL CYSTECTOMY, FOR MALIGNANCY + CREATION OF ILEAL NEOBLADDER",6C,Existing
9,SG708B,"BLADDER, CYSTOSCOPY, EXTERNAL SPHINCTEROTOMY FOR NEUROGENIC BLADDER NECK OBSTRUCTION",2C,Existing
10,SG709B,"BLADDER, CYSTOSCOPY, REMOVAL OF FOREIGN BODY/URETERIC STENT",2B,Uptable
11,SG710B,"BLADDER, CYSTOSCOPY, WITH CONTROLLED HYDRODILATATION OF THE BLADDER",1B,Existing
12,SG711B,"BLADDER, CYSTOSCOPY, WITH ENDOSCOPIC REMOVAL/MANIPULATION OF URETERIC CALCULUS",3B,Existing
13,SG712B,"BLADDER, CYSTOSCOPY, WITH ENDOSCOPIC RESECTION/INCISION OF BLADDER NECK",3B,Existing
14,SG713B,"BLADDER, CYSTOSCOPY, WITH OR WITHOUT BIOPSY",1B,Existing
15,SG714B,"BLADDER/URETHRA, TRANSURETHRAL RESECTION OF BLADDER TUMOUR (<3CM)",4A,Existing
16,SG715B,"BLADDER/URETHRA, TRANSURETHRAL RESECTION OF BLADDER TUMOUR (>3CM)",4B,Existing
17,SG716B,"BLADDER/URETER, CYSTOSCOPY, WITH URETERIC CATHETERISATION",1C,Existing
18,SG717B,"BLADDER, CYSTOSCOPY, WITH URETERIC MEATOTOMY/WITH RESECTION OF URETEROCELE",3B,Existing
19,SG718B,"BLADDER/URETHRA, CYSTOSCOPY, WITH URETHRAL DILATATION",1C,Existing
20,SG729B,"BLADDER, STANDARD URODYNAMICS STUDY, SIMPLE (WITHOUT VIDEO)",1C,Existing
21,SG730B,"BLADDER, STANDARD URODYNAMICS STUDY, COMPLEX (WITH VIDEO)",2A,Existing
22,SG800B,"BLADDER, BLADDER NECK CONTRACTURE, (ACQUIRED/CONGENITAL), WEDGE EXCISION",3B,Existing
23,SG802B,"BLADDER, CALCULUS, VESICOLITHOTOMY/LITHOLAPAXY/ULTRASONIC LITHOTRIPSY",2C,Existing
24,SG803B,"BLADDER, CUTANEOUS FISTULA, CLOSURE",2C,Existing
25,SG804B,"BLADDER, DIVERTICULUM, OPEN EXCISION",3B,Existing
26,SG805B,"BLADDER, ECTOPIA VESICAE/ECTOPIA CLOACAE WITH CONGENITAL INCONTINENCE, SPHINCTER RECONSTRUCTION",7B,Existing
