S/N,Code,Description,Table,Classification
1,SI700C,"CERVIX, CANCER, RADICAL TRACHELECTOMY WITH/WITHOUT LYMPHADENECTOMY",5B,Existing
2,SI701C,"CERVIX, CERVICAL INCOMPETENCE, REMOVAL OF CERCLAGE",1C,Descriptor change
3,SI702C,"UTERUS/CERVIX, TRANSCERVICAL RESECTION (TCR) MYOMA (<3CM), HYSTEROSCOPIC",3C,"Uptable, Descriptor change"
4,SI703C,"UTERUS/CERVIX, TRANSCERVICAL RESECTION (TCR) MYOMA (>3CM), HYSTEROSCOPIC",4C,"Uptable, Descriptor change"
5,SI704C,"CERVIX, TRANSCERVICAL RESECTION (TCR) POLYP (<2CM), HYSTEROSCOPIC",2B,Existing
6,SI705C,"CERVIX, TRANSCERVICAL RESECTION (TCR) POLYP (>2CM), HYSTEROSCOPIC",2C,Existing
7,SI706C,"CERVIX, TRANSCERVICAL RESECTION (TCR) SEPTUM, HYSTEROSCOPIC",3A,Existing
8,SI707C,"CERVIX, VARIOUS LESIONS, COLPOSCOPY, ABLATIONAL AND/OR EXCISIONAL TREATMENT (E.G. LASER VAPOURISATION/LOOP ELECTROSURGICAL EXCISION PROCEDURE/LASER EXCISION OF TRANSFORMATION ZONE WITH BIOPSY)",2A,Existing
9,SI800C,"CERVIX, TEAR, SIMPLE REPAIR WITHOUT ANESTHESIA",MSP,Existing
10,SI801C,"CERVIX, POLYP, EXCISION (OUTPATIENT)",MSP,Existing
11,SI802C,"CERVIX, CERVICAL INCOMPETENCE, CERCLAGE",2B,Existing
12,SI803C,"CERVIX, CERVICAL INTRAEPITHELIAL NEOPLASIA, CONE BIOPSY WITH/WITHOUT LASER",3A,Existing
13,SI804C,"CERVIX, ECTROPION, AMPUTATION/REPAIR OF CERVIX (TRACHELORRHAPHY)",3B,Existing
14,SI805C,"CERVIX, POLYP, EXCISION/EROSION (COMPLICATED) INCLUDES D&C WITH BIOPSY",2B,Existing
15,SI806C,"CERVIX, POLYP, EXCISION/EROSION (SIMPLE) WITH BIOPSY",1B,Existing
16,SI807C,"CERVIX, POLYP/EROSION, LASER THERAPY",1B,Descriptor change
17,SI808C,"CERVIX, STENOSIS, DILATATION",1B,Existing
18,SI809C,"CERVIX, TEAR, REPAIR UNDER ANESTHESIA",1C,Existing
19,SI810C,"CERVIX, VARIOUS LESIONS, COLPOSCOPY AND BIOPSY",1C,Existing
20,SI811C,"CERVIX, VARIOUS LESIONS, COLPOSCOPY",MSP,Existing
21,SI812C,"CERVIX, VARIOUS LESIONS, CRYOSURGERY",MSP,Existing
22,SI813C,"CERVIX, VARIOUS LESIONS, PUNCH BIOPSY",1A,Existing
23,SI814C,"CLITORIS, CLITOROMEGALY, AMPUTATION",2C,Existing
24,SI700F,"FALLOPIAN TUBE, BLOCKED TUBE, FLUOROSCOPIC TRANSCERVICAL FALLOPIAN TUBAL RECANALISATION (FTR)",2C,Existing
25,SI701F,"FALLOPIAN TUBE, BLOCKED TUBES, TUBAL REANASTOMOSIS, MIS",5C,Existing
26,SI702F,"FALLOPIAN TUBE, FALLOPOSCOPY",2B,Existing
27,SI703F,"FALLOPIAN TUBE, STERILIZATION, HYSTEROSCOPIC",2B,Existing
28,SI704F,"FALLOPIAN TUBE, STERILISATION",3A,"Uptable, Descriptor change"
29,SI705F,"FALLOPIAN TUBE, TUBAL PATHOLOGY, SALPINGECTOMY, MIS",3C,Existing
30,SI706F,"FALLOPIAN TUBE/UTERUS/OVARY, LAPAROSCOPY, DIAGNOSTIC, WITH HYDROTUBATION",3B,Existing
31,SI800F,"FALLOPIAN TUBE, BLOCKED TUBES, TUBOPLASTY, RECANALISATION, HYSTEROSCOPIC",3B,Existing
32,SI801F,"FALLOPIAN TUBE, BLOCKED TUBES, CORNUAL REANASTOMOSIS (MICROSURGERY/MIS)",5C,Existing
33,SI802F,"FALLOPIAN TUBE, BLOCKED TUBES, PLASTIC REPAIR (MICROSURGERY/MIS)",5C,Existing
34,SI803F,"FALLOPIAN TUBE, BLOCKED TUBES, PLASTIC REPAIR / SALPINGOSTOMY (MACROSURGERY)",4C,Existing
35,SI805F,"FALLOPIAN TUBE, REMOVAL OF ECTOPIC GESTATION",3B,Existing
36,SI806F,"FALLOPIAN TUBE, PERITUBAL ADHESIONS, SALPINGOLYSIS (MICROSURGERY/MIS)",5C,Existing
37,SI807F,"FALLOPIAN TUBE, PERITUBAL ADHESIONS, SALPINGOLYSIS (MACROSURGERY)",4A,Existing
38,SI808F,"FALLOPIAN TUBE, TUBAL PATHOLOGY OTHER THAN ECTOPIC, SALPINGECTOMY/ SALPINGOSTOMY",4A,Existing
39,SI809F,"FALLOPIAN TUBE, TUBO-OVARIAN/ PELVIC ABSCESS, DRAINAGE (TRANSABDOMINAL)",3B,Descriptor change
40,SI810F,"FEMALE GENITALIA, TRANSSEXUALISM (TRANSVESTISM), SEX REASSIGNMENT (FEMALE TO MALE)",5A,Existing
41,SI811F,"FEMALE GENITALIA, TRANSSEXUALISM (TRANSVESTISM), SEX REASSIGNMENT WITH MASTECTOMY (FEMALE TO MALE)",6B,Existing
42,SI812F,"FALLOPIAN TUBE, TUBO-OVARIAN/PELVIC ABSCESS, DRAINAGE (TRANSVAGINAL)",2C,New
43,SI800G,"GENITAL TRACT, CANCER, STAGING UNDER GENERAL ANESTHESIA (INCLUDES CYSTOSCOPY/DILATATION & CURETTAGE/BIOPSY)",1C,Existing
44,SI801G,"GENITAL TRACT, PELVIC CYST, ULTRASOUND GUIDED PROCEDURE-ASPIRATION",2C,Existing
45,SI700L,"LAPAROSCOPY, THERAPEUTIC, EXCEPT FOR RETRIEVAL AND PLACEMENT OF GAMETES AND PLACEMENT OF EMBRYOS",3C,Existing
46,SI701L,"LAPAROTOMY DEBULKING (ADVANCED DISEASE, PRIMARY/RECURRENT)",6A,Existing
47,SI702O,"OVARY, MALIGNANT TUMOR/CYST, STAGING LAPAROTOMY, AS THE ONLY PROCEDURE",3C,Existing
48,SI703O,"OVARIAN VEINS, PELVIC CONGESTION SYNDROME, OVARIAN VEIN EMBOLISATION",3B,Existing
49,SI800O,"OVARY, MALIGNANT TUMOR/CYST, TOTAL HYSTERECTOMY BILATERAL SALPINGO- OOPHORECTOMY WITH OMENTECTOMY, SURGICAL STAGING WITH/WITHOUT LYMPHADENECTOMY",5C,Existing
50,SI801O,"OVARY, TUMOR/CYST, ASPIRATION EXCEPT FOR OVUM RETRIEVAL",3B,Existing
51,SI805O,"OVARY, TUMOR/CYST, OOPHORECTOMY/SALPINGO- OOPHORECTOMY (SIMPLE)",3B,Existing
52,SI806O,"OVARY, TUMOR/CYST, OOPHORECTOMY/SALPINGO- OOPHORECTOMY (COMPLICATED)",4A,Existing
53,SI807O,"OVARY, VARIOUS LESIONS, BIOPSY",3A,Existing
54,SI808O,"OVARY, VARIOUS LESIONS, OVARIOPEXY",3B,Existing
55,SI809O,"OVARY, VARIOUS LESIONS, OVARIOPLASTY, LAPAROTOMY/MIS (USING MICROSURGICAL TECHNIQUES)",6B,Existing
56,SI810O,"OVARY, VARIOUS LESIONS, WEDGE RESECTION",3B,Existing
57,SI811O,"OVARY, TUMOUR/CYST, CYSTECTOMY, SIMPLE UNILATERAL",3B,New
58,SI812O,"OVARY, TUMOUR/CYST, CYSTECTOMY, COMPLEX UNILATERAL OR SIMPLE BILATERAL ( SINGLE>5CM, BILATERAL CYST <5CM, ADHESIONS)",4A,New
59,SI813O,"OVARY, TUMOUR/CYST, CYSTECTOMY, COMPLEX BILATERAL ( BILATERAL CYSTS BOTH>5CM)",4C,New
60,SI700P,"PELVIC FLOOR RECONSTRUCTION, MIS",4C,Existing
61,SI701P,"PELVIS, ARTERY/VEIN, LIGATION / OCCLUSION",3C,Existing
62,SI702P,"PELVIS, FROZEN/DENSE PELVIC ADHESIONS, CONSERVATIVE RECONSTRUCTION OF OVARIES, TUBES, UTERUS, PELVIC FLOOR",5A,Existing
63,SI703P,"PELVIS, MALIGNANT, SECOND LOOK LAPAROTOMY",4A,Existing
64,SI700U,"UTERUS/CERVIX, HYSTEROSCOPY, DIAGNOSTIC (WITH GENERAL ANESTHESIA)",1C,Existing
65,SI701U,"UTERUS/CERVIX, HYSTEROSCOPY, DIAGNOSTIC (WITHOUT ANAESTHESIA)",1A,Existing
66,SI702U,"UTERUS, BENIGN CONDITIONS, TOTAL ABDOMINAL HYSTERECTOMY WITH/WITHOUT SALPINGO- OOPHORECTOMY AND PELVIC FLOOR REPAIR (COMBINED OPERATION)",4C,Existing
