S/N,Code,Description,Table,Classification,Cleaned_Description,X,Y,Cluster
65,SM712L,"LARYNX, TUMOR, PARTIAL LARYNGECTOMY",5C,Existing,larynx tumor partial laryngectomy,75.55868,1.1053543,-1
55,SK700C,"BRACHIAL PLEXUS, BLOCK, CATHETER",1C,Existing,brachial plexus block catheter,48.66717,31.909136,0
11,SM710E,"EAR, TYMPANIC MEMBRANE, PERFORATION, ROUND WINDOW REPAIR",4A,Existing,ear tympanic membrane perforation round window repair,63.416576,43.013847,0
281,SB831J,"JOINTS (UPPER LIMB, EXCEPT SHOULDER), SEPTIC ARTHRITIS, DRAINAGE WITH CURRETAGE AND DEBRIDEMENT",3C,Existing,joint upper limb except shoulder septic arthritis drainage curretage debridement,27.53767,-42.440205,0
14,SK713A,"ARTERY, SPINAL, ANEURYSM/ARTERIO-VENOUS MALFORMATION, EMBOLISATION",6B,Existing,artery spinal aneurysmarteriovenous malformation embolisation,13.841788,16.018364,0
297,SF805R,"RECTUM, TUMOR, ANTERIOR RESECTION/ABDOMINO- PERINEAL RESECTION WITH SALPINGO-OOPHORECTOMY AND TOTAL HYSTERECTOMY",6C,Existing,rectum tumor anterior resectionabdomino perineal resection salpingooophorectomy total hysterectomy,-20.294525,22.980375,0
273,SB820J,"JOINTS (TEMPORO-MANDIBULAR), DISLOCATION, REDUCTION WITHOUT GENERAL ANAESTHESIA",MSP,Existing,joint temporomandibular dislocation reduction without general anaesthesia,16.647303,58.077827,0
31,SB802B,"BONE (LOWER LIMB), DEFORMITIES, CORRECTIVE SURGERY WITH OSTEOTOMY ALONE",4A,Existing,bone lower limb deformity corrective surgery osteotomy alone,-12.763511,56.06255,0
6,SJ700T,"THYROID, VARIOUS LESIONS, NEEDLE BIOPSY",MSP,Existing,thyroid various lesion needle biopsy,53.597446,9.343635,0
33,SD732A,"ARTERY-PSEUDOANEURYSM, EXCISION AND LIGATION",4A,Existing,arterypseudoaneurysm excision ligation,13.137144,48.538754,0
32,SC706T,"THORAX, RIBS, OPEN FIXATION OF RIB FRACTURES (>3 RIBS)",5A,Existing,thorax rib open fixation rib fracture 3 rib,-50.370884,-40.532993,0
33,SC707T,"THORAX, RIBS, OPEN FIXATION OF RIB FRACTURES (1 - 3 RIBS)",4A,Existing,thorax rib open fixation rib fracture 1 3 rib,-50.370884,-40.532993,0
365,SB823M,"MANDIBLE, VARIOUS LESIONS, GENIOPLASTY (SIMPLE - NOT AS A COMBINED PROCEDURE)",5A,Existing,mandible various lesion genioplasty simple combined procedure,5.0113688,13.545083,0
112,SI825U,"UTERUS, MALIGNANT CONDITION, MODIFIED RADICAL HYSTERECTOMY WITH/WITHOUT LYMPHADENECTOMY",6A,"Uptable, Descriptor change",uterus malignant condition modified radical hysterectomy withwithout lymphadenectomy,-15.431534,-49.040974,0
115,SI829U,"UTERUS, MALIGNANT CONDITIONS, TOTAL PELVIC EXENTERATION",7C,Existing,uterus malignant condition total pelvic exenteration,-38.69254,41.222866,0
125,SB806F,"FACE, INTRAOSSEOUS TUMOR (SMALL), EXCISION",3A,Existing,face intraosseous tumor small excision,-23.80653,17.618849,0
7,SJ701T,"THYROID, VARIOUS LESIONS, IMAGING GUIDED PERCUTANEOUS ASPIRATION/BIOPSY",1B,Existing,thyroid various lesion imaging guided percutaneous aspirationbiopsy,53.85839,10.487844,0
175,SB718H,"HAND, SOFT TISSUE TUMOR, EXCISION >1.5CM SIZE",2C,Existing,hand soft tissue tumor excision 15cm size,12.881112,-22.96491,0
181,SK802S,"SKULL, CRANIOSTENOSIS (MULTIPLE SUTURE), OPERATION",6B,Existing,skull craniostenosis multiple suture operation,-26.18857,26.263056,0
272,SF802P,"PALATE, CLEFT, SECONDARY REPAIR (CLOSURE OF FISTULA)",3B,Existing,palate cleft secondary repair closure fistula,19.062208,-22.890142,0
36,SI806F,"FALLOPIAN TUBE, PERITUBAL ADHESIONS, SALPINGOLYSIS (MICROSURGERY/MIS)",5C,Existing,fallopian tube peritubal adhesion salpingolysis microsurgerymis,14.205757,6.193669,0
32,SH820P,"PENIS, TUMOR, AMPUTATION (TOTAL)",4A,Existing,penis tumor amputation total,-33.50326,0.1249349,0
98,SB707F,"FEMUR, NECK OF FEMUR FRACTURE (PAEDIATRIC), PIN FIXATION",4B,Existing,femur neck femur fracture paediatric pin fixation,24.731102,34.498756,0
349,SB807M,"MANDIBLE OR MAXILLA, ODONTOGENIC CYST (11- 20MM), ENUCLEATION",3A,Existing,mandible maxilla odontogenic cyst 11 20mm enucleation,1.4094095,14.923658,0
225,SF714M,"MOUTH, SUBMANDIBULAR GLAND, CALCULUS (DEEP), REMOVAL BIOPSY",3A,Existing,mouth submandibular gland calculus deep removal biopsy,-2.0019455,-36.498615,0
