S/N,Code,Description,Table,Classification
1,SB700A,"ANKLE, ANKLE FRACTURE, BIMALLEOLAR, ORIF",4A,Existing
2,SB701A,"ANKLE, COMMINUTED PLAFOND FRACTURE ORIF",5A,Existing
3,SB702A,"ANKLE, LIGAMENTOUS INSTABILITY, RECONSTRUCTION
OF LIGAMENTS",5A,"Descriptor
change"
4,SB703A,"ANKLE, VARIOUS LESIONS, PRIMARY TOTAL JOINT REPLACEMENT WITH AUGMENTATION, REQUIRING EXTRA IMPLANTS OR BONE GRAFTS",6B,Descriptor Change
5,SB704A,"ANKLE, VARIOUS LESIONS, REVISION TOTAL JOINT REPLACEMENT",6C,Descriptor change
6,SB705A,"ANKLE, THERAPEUTIC ARTHROSCOPY",4A,Existing
7,SB746A,"ASPIRATION, DEEP MUSCULOSKELETAL TISSUES, UNDER RADIOLOGICAL GUIDANCE",1A,Existing
8,SB800A,"ANKLE, DISLOCATION, OPEN REDUCTION",3B,Existing
9,SB801A,"ANKLE, ANKLE FRACTURE, UNIMALLEOLAR, ORIF",3B,Existing
10,SB802A,"ANKLE, VARIOUS LESIONS, ARTHRODESIS (SURGICAL FUSION)",5A,Existing
11,SB803A,"ANKLE, VARIOUS LESIONS, OPEN EXCISION/INTERPOSITION ARTHROPLASTY, WITH OR WITHOUT RESURFACING",4C,Existing
12,SB804A,"ANKLE, VARIOUS LESIONS, REPAIR OF LIGAMENTS",3A,Existing
13,SB805A,"ANKLE, VARIOUS LESIONS, SYNOVECTOMIES",3B,Existing
14,SB806A,"ANKLE, VARIOUS LESIONS, PRIMARY TOTAL JOINT REPLACEMENT",6A,Descriptor change
15,SB700B,"BONE (LOWER LIMB), TUMOR (BENIGN), >3 CM WITH BONE GRAFTING +/- RECONSTRUCTION/INTERNAL FIXATION",5A,Existing
16,SB701B,"BONE (LOWER LIMB), TUMOR (MALIGNANT), RADICAL EXCISION >6CM WITH RECONSTRUCTION AND BONE GRAFT",6A,Existing
17,SB702B,"BONE (SKULL), TUMOR (LARGE>3CM), EXCISION AND EXTENSIVE RECONSTRUCTION (DURA, SKULL, SKIN)",7B,Existing
18,SB703B,"BONE (UPPER/LOWER LIMB), EXOSTOSIS, EXCISION BIOPSY (MORE THAN1/ BILATERAL)",3A,Existing
19,SB704B,"BONE (UPPER LIMB), TUMOR (BENIGN), MAJOR EXCISION
>3 CM WITH BONE GRAFTING +/- RECONSTRUCTION/INTERNAL FIXATION",5A,Existing
20,SB705B,"BONE, TUMOUR, IMAGING GUIDED PERCUTANEOUS LOCAL ABLATION, SIMPLE, > 1 LESION
(RADIOFREQUENCY, CRYOTHERAPY, MICROWAVE, LASER, ALCOHOL, ETC)",4A,Existing
21,SB706B,"BONE, TUMOUR, IMAGING GUIDED PERCUTANEOUS
LOCAL ABLATION (RADIOFREQUENCY, CRYOTHERAPY, MICROWAVE, LASER, ALCOHOL,ETC) , SINGLE LESION",3C,Existing
22,SB707B,"BONE, TUMOR (MALIGNANT), AROUND JOINTS WITH LIMB
RECONSTRUCTION AND JOINT REPLACEMENT",7A,Existing
23,SB708B,"BONE, TUMOUR (MALIGNANT), WIDE/MAJOR RESECTION AND RECONSTRUCTION (VASCULARISED BONE GRAFT)",7B,Existing
24,SB709B,"BONE, VARIOUS LESIONS, OPEN BIOPSY,
CEMENTING/PLATE FIXATION",1B,Existing
25,SB710B,"BONE/SOFT TISSUE, VARIOUS LESIONS, TRUCUT BIOPSY",1B,Existing
26,SB711B,"BONE/ SOFT TISSUE, VARIOUS LESIONS, IMAGING GUIDED PERCUTANEOUS BIOPSY",2B,Existing
27,SB712B,"BURSA, BURSITIS, EXCISION BIOPSY (MORE THAN 1/BILATERAL)",2C,Existing
28,SB713B,"BONE, TUMOUR, IMAGING GUIDED PERCUTANEOUS LOCAL ABLATION, COMPLEX, > 1 LESION (RADIOFREQUENCY, CRYOTHERAPY, MICROWAVE,
LASER, ALCOHOL, ETC)",4B,Existing
29,SB800B,"BONE, CYST/TUMOUR BENIGN/BENIGN AGGRESSIVE, CURRETTAGE/BURRING/BONE GRAFTING/CEMENTING",4A,Existing
30,SB801B,"BONE (LOWER LIMB), DEFORMITIES, CORRECTIVE SURGERY WITH INTERNAL FIXATION WITH OR WITHOUT FLUOROSCOPY",5C,Existing
31,SB802B,"BONE (LOWER LIMB), DEFORMITIES, CORRECTIVE SURGERY WITH OSTEOTOMY ALONE",4A,Existing
32,SB803B,"BONE (LOWER LIMB), DEFECT/NON UNION, IMPLANTATION OF BONE STIMULATOR",3B,Existing
33,SB804B,"BONE (LOWER LIMB), FRACTURE/DISLOCATION, MANIPULATION AND KIRSCHNER WIRE FIXATION",3B,Existing
34,SB805B,"BONE (LOWER LIMB), GRADE 1 AND 2 OPEN FRACTURES/OPEN DISLOCATION OR OPEN FRACTURE- DISLOCATION WOUND DEBRIDEMENT",2B,Existing
35,SB806B,"BONE (LOWER LIMB), OSTEOMYELITIS, DRAINAGE WITH CURETTAGE AND IRRIGATION",4A,Existing
