S/N,Code,Description,Table,Classification
1,SM700A,"ADENOIDS, VARIOUS LESIONS, REMOVAL",2C,Existing
2,SM700E,"EAR, AUDITORY MEATUS (INTERNAL), TUMOR, TRANSMASTOID REMOVAL WITH EXTENDED
MASTOIDECTOMY",6B,Existing
3,SM701E,"EAR (MIDDLE), COCHLEAR IMPLANT",6A,Existing
4,SM702E,"EAR (MIDDLE), VARIOUS LESIONS (BENIGN CONDITION), EXCISION BIOPSY",2A,Existing
5,SM703E,"EAR, AURAL TOILET BY MICROSCOPY (COMPLEX) EG. IMPACTED EAR WAX/FOREIGN BODY/DISCHARGE",MSP,Existing
6,SM704E,"EAR, EXCISION PSEUDOCYST PINNA",2A,Existing
7,SM706E,"EAR, BILATERAL PREAURICULAR SINUS EXCISION",3A,Existing
8,SM707E,"EAR, TYMPANIC MEMBRANE, BILATERAL MYRINGOTOMY WITHOUT TUBE",1C,Existing
9,SM708E,"EAR, TYMPANIC MEMBRANE, BILATERAL MYRINGOTOMY WITH TUBE",2B,Existing
10,SM709E,"EAR, TYMPANIC MEMBRANE, PERFORATION, CAUTERISATION/DIATHERMY",1B,Existing
11,SM710E,"EAR, TYMPANIC MEMBRANE, PERFORATION, ROUND WINDOW REPAIR",4A,Existing
12,SM711E,"EAR, IMPLANTATION OF BONE-ANCHORED HEARING AID",4B,Existing
13,SM712E,"EAR (MIDDLE), MIDDLE EAR IMPLANT SURGERY",5B,Existing
14,SM800E,"EAR (MIDDLE), ABSCESS/INFLAMMATION, OPERATION",1B,Existing
15,SM801E,"EAR (MIDDLE), ROUND WINDOW PERFORATION, REPAIR",4A,Existing
16,SM802E,"EAR (MIDDLE), VARIOUS LESIONS, EXPLORATION AND TYMPANOTOMY",3A,Existing
17,SM803E,"EAR (MIDDLE), VARIOUS LESIONS, STAPEDECTOMY",4B,Existing
18,SM804E,"EAR, CAULIFLOWER EAR, CORRECTION",3A,Existing
19,SM805E,"EAR, CONGENITAL ATRESIA, RECONSTRUCTION OF EXTERNAL AUDITORY CANAL AND MIDDLE EAR",4B,Existing
20,SM806E,"EAR, DEFORMITY, COMPOSITE GRAFT",4A,Existing
21,SM807E,"EAR, DEFORMITY, CORRECTION (BILATERAL)",3C,Existing
22,SM808E,"EAR, DEFORMITY, CORRECTION (UNILATERAL)",3A,Existing
23,SM809E,"EAR, DEFORMITY, LOBULE RECONSTRUCTION
(BILATERAL)",2C,Existing
24,SM810E,"EAR, DEFORMITY, LOBULE RECONSTRUCTION (UNILATERAL)",1C,Existing
25,SM811E,"EAR, EXOSTOSIS OBTURANS, EXCISION BIOPSY",3A,Existing
26,SM812E,"EAR, FOREIGN BODY,  REMOVAL",MSP,Existing
27,SM813E,"EAR, FOREIGN BODY, COMPLEX REMOVAL/EXCISION
(EMBEDDED/LARGE)",1B,Existing
28,SM814E,"EAR, HEMATOMA/SEROMA, EVACUATION/INCISION & DRAINAGE",1B,Existing
29,SM815E,"EAR, KERATOSIS OBTURANS MODERATE/SEVERE, EXCISION BIOPSY UNDER LA/GA",1C,Descriptor change
30,SM816E,"EAR, LACERATION (FULL THICKNESS), REPAIR > 3CM",3A,Existing
31,SM817E,"EAR, LACERATION, WOUND DEBRIDEMENT",MSP,Existing
32,SM818E,"EAR, MICROTIA, CREATION OF POST-AURICULAR SULCUS WITH SKIN GRAFT",3C,Existing
33,SM819E,"EAR, MICROTIA, INSERTION OF CARTILAGE/SILASTIC FRAMEWORK",4A,Existing
34,SM820E,"EAR, MICROTIA, REPOSITIONING OF LOBULE",2A,Existing
35,SM821E,"EAR, PARTIAL AMPUTATION, RECONSTRUCTION",4A,Existing
36,SM822E,"EAR, POLYP, REMOVAL",1B,Existing
37,SM823E,"EAR, UNILATERAL PRE AURICULAR SINUS EXCISION",2B,Existing
38,SM824E,"EAR, SEBACEOUS CYST, EXCISION",1B,Existing
39,SM825E,"EAR, TOTAL AMPUTATION, MICROVASCULAR
RECONSTRUCTION",7C,Existing
40,SM826E,"EAR, TOTAL AMPUTATION, STAGED RECONSTRUCTION (EACH STAGE)",4A,Existing
41,SM827E,"EAR, VARIOUS LESIONS, MEATOPLASTY/CANALPLASTY WITH / WITHOUT SPLIT SKIN GRAFT",3B,Existing
42,SM829E,"EAR, VARIOUS LESIONS, MYRINGOPLASTY (POST- AURAL/ENDAURAL APPROACH)",4A,Existing
43,SM830E,"EAR, VARIOUS LESIONS, MYRINGOPLASTY (SIMPLE)",3B,Existing
44,SM831E,"EAR, TYMPANIC MEMBRANE, UNILATERAL,MYRINGOTOMY WITHOUT TUBE",1B,Existing
45,SM832E,"EAR, TYMPANIC MEMBRANE, UNILATERAL MYRINGOTOMY WITH TUBE",2A,Existing
46,SM833E,"EAR, VARIOUS LESIONS, OSSICULAR CHAIN RECONSTRUCTION WITH/WITHOUT MYRINGOPLASTY",4B,Existing
47,SM834E,"EAR, VARIOUS LESIONS, VARIOUS GRAFT TO FENESTRATION CAVITY",4A,Existing
48,SM835E,"ENDOLYMPHATIC SAC, VARIOUS LESIONS, TRANSMASTOID SHUNT PROCEDURE",5C,Existing
49,SM836E,"EAR, EUSTACHIAN TUBE, VARIOUS LESIONS, CATHETERISATION/INFLATION",1A,Existing
50,SM837E,"EAR, VARIOUS LESIONS, MIDDLE FOSSA EXTRA-DURAL
APPROACH TO TEMPORAL BONE WITH/WITHOUT TRANSMASTOID APPROACH COMBINED ACCESS",6B,Existing
51,SM838E,"EAR, VARIOUS LESIONS, MYRINGOPLASTY (LATERAL GRAFT/ONLAY GRAFT TECHNIQUE/UNDERLAY
TECHNIQUE) WITH/WITHOUT CANALPLASTY",4B,Descriptor change
