S/N,Code,Description,Table,Classification
1,SM700A,,2C,Existing
2,SM700E,,6B,Existing
3,SM701E,,6A,Existing
4,SM702E,,2A,Existing
5,SM703E,,MSP,Existing
6,SM704E,,2A,Existing
7,SM706E,,3A,Existing
8,SM707E,,1C,Existing
9,SM708E,,2B,Existing
10,SM709E,,1B,Existing
11,SM710E,,4A,Existing
12,SM711E,,4B,Existing
13,SM712E,,5B,Existing
14,SM800E,,1B,Existing
15,SM801E,,4A,Existing
16,SM802E,,3A,Existing
17,SM803E,,4B,Existing
18,SM804E,,3A,Existing
19,SM805E,,4B,Existing
20,SM806E,,4A,Existing
21,SM807E,,3C,Existing
22,SM808E,,3A,Existing
23,SM809E,,2C,Existing
24,SM810E,,1C,Existing
25,SM811E,,3A,Existing
26,SM812E,,MSP,Existing
27,SM813E,,1B,Existing
28,SM814E,,1B,Existing
29,SM815E,,1C,Descriptor change
30,SM816E,,3A,Existing
31,SM817E,,MSP,Existing
32,SM818E,,3C,Existing
33,SM819E,,4A,Existing
34,SM820E,,2A,Existing
35,SM821E,,4A,Existing
36,SM822E,,1B,Existing
37,SM823E,,2B,Existing
38,SM824E,,1B,Existing
39,SM825E,,7C,Existing
40,SM826E,,4A,Existing
41,SM827E,,3B,Existing
42,SM829E,,4A,Existing
43,SM830E,,3B,Existing
44,SM831E,,1B,Existing
45,SM832E,,2A,Existing
46,SM833E,,4B,Existing
47,SM834E,,4A,Existing
48,SM835E,,5C,Existing
49,SM836E,,1A,Existing
50,SM837E,,6B,Existing
51,SM838E,,4B,Descriptor change
52,SM839E,,2A,Existing
53,SM700I,,1C,Existing
54,SM701L,,2B,Uptable
55,SM702L,,7C,Existing
56,SM703L,,3B,Existing
57,SM704L,,5C,Existing
58,SM705L,,5C,Existing
59,SM706L,,5C,Existing
60,SM707L,,5C,Existing
61,SM708L,,5C,Existing
62,SM709L,,7A,Existing
63,SM710L,,6B,Existing
64,SM711L,,2C,Existing
65,SM712L,,5C,Existing
66,SM713L,,6B,Existing
67,SM714L,,4B,Existing
68,SM716L,,1B,Existing
69,SM717L,,5C,Existing
70,SM718L,,6B,Existing
71,SM800L,,5C,Existing
72,SM700M,,1B,Existing
73,SM701M,,2B,Existing
74,SM702M,,2B,Existing
75,SM703M,,4A,Existing
76,SM704M,,1B,Existing
77,SM800M,,3C,Existing
78,SM801M,,5C,Descriptor change
79,SM802M,,4B,Existing
80,SM803M,,5C,Existing
81,SM804M,,4B,Existing
82,SM839M,,4A,Existing
83,SM700N,,1A,Descriptor change
84,SM701N,,4A,Existing
85,SM702N,,2C,Existing
86,SM703N,,MSP,Existing
87,SM704N,,1A,Existing
88,SM705N,,1B,Existing
89,SM706N,,3A,Existing
90,SM707N,,2B,Existing
91,SM708N,,1B,Existing
92,SM709N,,4A,Existing
93,SM710N,,3B,Existing
17 The frequency restriction of code applies irrespective of the specialist performing the procedure or medical institution at which the procedure is performed.,,,,
94,SM711N,,6B,Existing
