S/N,Code,Description,Table,Classification
1,SK700A,"ARTERY, CAROTICO-CAVERNOUS FISTULA,
EMBOLISATION",6B,Existing
2,SK701A,"ARTERY, EXTRACRANIAL, VARIOUS LESIONS, BALLOON TEST OCCLUSION",3B,Existing
3,SK702A,"ARTERY, EXTRACRANIAL, VARIOUS LESIONS, DIAGNOSTIC EXTRACRANIAL ANGIOGRAPHY",3A,Existing
4,SK703A,"ARTERY, EXTRACRANIAL, VARIOUS LESIONS, INFUSION",3C,Existing
5,SK704A,"ARTERY, EXTRACRANIAL, VARIOUS LESIONS, PERCUTANEOUS TRANSCATHETER EMBOLIZATION",4B,Existing
6,SK705A,"ARTERY, EXTRACRANIAL, VARIOUS LESIONS, PERCUTANEOUS TRANSLUMINAL ANGIOPLASTY",4A,Existing
7,SK706A,"ARTERY, EXTRACRANIAL, VARIOUS LESIONS, STENTING",4B,Existing
8,SK707A,"ARTERY, INTRACRANIAL, ANEURYSM/ARTERIO-VENOUS MALFORMATION, EMBOLISATION",6B,Existing
9,SK708A,"ARTERY, INTRACRANIAL, THROMBOSIS, PERCUTANEOUS CATHETER DIRECTED THROMBOLYSIS/THROMBECTOMY",6B,Existing
10,SK709A,"ARTERY, INTRACRANIAL, TUMOUR, PERCUTANEOUS TRANSCATHETER EMBOLIZATION",4B,Existing
11,SK710A,"ARTERY, INTRACRANIAL, VARIOUS LESIONS, DIAGNOSTIC CEREBRAL ANGIOGRAPHY",3A,Existing
12,SK711A,"ARTERY, INTRACRANIAL, VARIOUS LESIONS, PERCUTANEOUS TRANSLUMINAL ANGIOPLASTY",6A,Existing
13,SK712A,"ARTERY, INTRACRANIAL, VARIOUS LESIONS, STENTING",6B,Existing
14,SK713A,"ARTERY, SPINAL, ANEURYSM/ARTERIO-VENOUS
MALFORMATION, EMBOLISATION",6B,Existing
15,SK714A,"ARTERY, SPINAL, TUMOUR, PERCUTANEOUS TRANSCATHETER EMBOLIZATION",4B,Existing
16,SK715A,"ARTERY, SPINAL, VARIOUS LESIONS, DIAGNOSTIC
ANGIOGRAPHY",3B,Existing
17,SK716A,"ARTERY-CAROTID, ANEURYSM-REPAIR/GRAFTING",7B,Existing
18,SK717A,"ARTERY-CAROTID, ARTERIO-OCCLUSIVE LESIONS, EXTERNAL CAROTID INTERNAL CAROTID BYPASS, COMPLEX",7A,Existing
19,SK800A,"ARTERY, ARTERIO-VENOUS FISTULA, LIGATION",2A,Existing
20,SK801A,"ARTERY-CAROTID, ARTERIO-OCCLUSIVE LESIONS, EXTERNAL CAROTID INTERNAL CAROTID BYPASS, SIMPLE",6B,Existing
21,SK802A,"ARTERY-CAROTID, ATHEROSCLEROSIS, CAROTID ENDARTERECTOMY",6B,Existing
22,SK803A,"ARTERY-CAROTID, CAROTID BODY TUMOR, EXCISION",6C,Existing
23,SK700B,"BRAIN, ACOUSTIC TUMOR/CEREBELLO-PONTINE ANGLE TUMOR, EXCISION, COMPLEX",7C,Existing
24,SK701B,"BRAIN, ANEURYSM/ARTERIO-VENOUS MALFORMATION, CLIPPING/EXCISION, COMPLEX",7A,Existing
25,SK702B,"BRAIN, CORTICAL STIMULATION/MAPPING FOR
FUNCTIONAL NEUROSURGERY",7A,Existing
26,SK703B,"BRAIN, DEEP BRAIN STIMULATION, BILATERAL",7C,Existing
27,SK704B,"BRAIN, DEEP BRAIN STIMULATION, UNILATERAL",7A,Existing
28,SK705B,"BRAIN, EPILEPSY, CRANIOTOMY, COMPLEX (AWAKE CRANIOTOMY)",7A,Existing
29,SK706B,"BRAIN, HYDROCEPHALUS AND OTHER LESIONS, VENTRICULOATRIAL/VENTRICULOPERITONEAL SHUNT,
BILATERAL",4C,Existing
30,SK707B,"BRAIN, HYDROCEPHALUS, EXTERNAL VENTRICULAR
DRAINAGE, BILATERAL",4A,Existing
