S/N,Code,Description,Table,Classification
1,SA700B,BOTULINUM TOXIN THERAPY FOR MOVEMENT DISORDERS,MSP,Existing
2,SA701B,"BREAST, DUCTAL LESIONS, MICRODOCHECTOMY
(BILATERAL)",3A,Existing
3,SA702B,"BREAST, DUCTAL LESIONS, MICRODOCHECTOMY (UNILATERAL)",2C,Existing
4,SA704B,"BREAST, LUMPS, IMAGING GUIDED VACUUM ASSISTED BIOPSY, SINGLE LESION",2B,Existing
5,SA705B,"BREAST, LUMP (REMOVAL) WITH PARENCHYMAL FLAP CLOSURE (UNILATERAL)",4A,Descriptor Change
6,SA706B,"BREAST, LUMPS, IMAGING GUIDED VACUUM ASSISTED
BIOPSY, > 1 LESIONS",2C,Existing
7,SA707B,"BREAST, TUMOR (MALIGNANT), WIDE EXCISION/ LUMPECTOMY/SEGMENTAL MASTECTOMY/ PARTIAL MASTECTOMY, WITH SENTINEL NODE BIOPSY/ AXILIARY NODE SAMPLING",4A,Existing
8,SA708B,"BREAST, VARIOUS LESIONS, PERCUTANEOUS
ASPIRATION UNDER ULTRASOUND",MSP,Existing
9,SA709B,"BREAST, VARIOUS LESIONS, TRUCUT BIOPSY, ULTRASOUND GUIDED OR STEREOTACTIC (MULTIPLE)",1C,Existing
10,SA710B,"BREAST, VARIOUS LESIONS, TRUCUT BIOPSY,
ULTRASOUND GUIDED OR STEREOTACTIC (SINGLE)",1B,Existing
11,SA711B,"BREAST, VARIOUS LESIONS, WIRE LOCALISATION, EXCISION (MULTIPLE)",3B,Existing
12,SA712B,"BREAST, VARIOUS LESIONS, WIRE LOCALISATION,
EXCISION (SINGLE)",3A,Existing
13,SA713B,"BREAST, POST MASTECTOMY, RECONSTRUCTION USING PEDICLED TRANSVERSE RECTUS ABDOMINIS
MUSCULOCUTANEOUS FLAP (UNILATERAL)",6A,Existing
14,SA800B,"BREAST (NIPPLE), VARIOUS LESIONS, GRAFT AND/OR FLAP RECONSTRUCTION (BILATERAL)",4B,Existing
15,SA801B,"BREAST (NIPPLE), VARIOUS LESIONS, GRAFT AND/OR
FLAP RECONSTRUCTION (UNILATERAL)",4A,Existing
16,SA802B,"BREAST, DIFFUSE HYPERTROPHY, REDUCTION MAMMOPLASTY >500G (BILATERAL)",6A,Existing
17,SA803B,"BREAST, DIFFUSE HYPERTROPHY, REDUCTION >250G
(UNILATERAL)",4B,Existing
18,SA804B,"BREAST, DROOPING, MASTOPEXY/REDUCTION (BILATERAL)",5B,Existing
19,SA805B,"BREAST, DROOPING, MASTOPEXY/REDUCTION
(UNILATERAL)",4A,Existing
20,SA806B,"BREAST, GYNECOMASTIA, REDUCTION (BILATERAL)",4A,Existing
