S/N,Code,Description,Table,Classification,Cleaned_Description
1,SA700B,BOTULINUM TOXIN THERAPY FOR MOVEMENT DISORDERS,MSP,Existing,botulinum toxin therapy movement disorder
2,SA701B,"BREAST, DUCTAL LESIONS, MICRODOCHECTOMY (BILATERAL)",3A,Existing,breast ductal lesion microdochectomy bilateral
3,SA702B,"BREAST, DUCTAL LESIONS, MICRODOCHECTOMY (UNILATERAL)",2C,Existing,breast ductal lesion microdochectomy unilateral
4,SA704B,"BREAST, LUMPS, IMAGING GUIDED VACUUM ASSISTED BIOPSY, SINGLE LESION",2B,Existing,breast lump imaging guided vacuum assisted biopsy single lesion
5,SA705B,"BREAST, LUMP (REMOVAL) WITH PARENCHYMAL FLAP CLOSURE (UNILATERAL)",4A,Descriptor Change,breast lump removal parenchymal flap closure unilateral
6,SA706B,"BREAST, LUMPS, IMAGING GUIDED VACUUM ASSISTED BIOPSY, > 1 LESIONS",2C,Existing,breast lump imaging guided vacuum assisted biopsy 1 lesion
7,SA707B,"BREAST, TUMOR (MALIGNANT), WIDE EXCISION/ LUMPECTOMY/SEGMENTAL MASTECTOMY/ PARTIAL MASTECTOMY, WITH SENTINEL NODE BIOPSY/ AXILIARY NODE SAMPLING",4A,Existing,breast tumor malignant wide excision lumpectomysegmental mastectomy partial mastectomy sentinel node biopsy axiliary node sampling
8,SA708B,"BREAST, VARIOUS LESIONS, PERCUTANEOUS ASPIRATION UNDER ULTRASOUND",MSP,Existing,breast various lesion percutaneous aspiration ultrasound
9,SA709B,"BREAST, VARIOUS LESIONS, TRUCUT BIOPSY, ULTRASOUND GUIDED OR STEREOTACTIC (MULTIPLE)",1C,Existing,breast various lesion trucut biopsy ultrasound guided stereotactic multiple
10,SA710B,"BREAST, VARIOUS LESIONS, TRUCUT BIOPSY, ULTRASOUND GUIDED OR STEREOTACTIC (SINGLE)",1B,Existing,breast various lesion trucut biopsy ultrasound guided stereotactic single
