S/N,Code,Description,Table,Classification,Cleaned_Description,PCA_X,PCA_Y,Cluster
65,SM712L,"LARYNX, TUMOR, PARTIAL LARYNGECTOMY",5C,Existing,larynx tumor partial laryngectomy,-0.0851600221139198,0.0446286723959471,0
55,SK700C,"BRACHIAL PLEXUS, BLOCK, CATHETER",1C,Existing,brachial plexus block catheter,-0.0894544653867166,-0.0756183034339572,0
11,SM710E,"EAR, TYMPANIC MEMBRANE, PERFORATION, ROUND WINDOW REPAIR",4A,Existing,ear tympanic membrane perforation round window repair,-0.1055776348301248,-0.0412900492155891,0
281,SB831J,"JOINTS (UPPER LIMB, EXCEPT SHOULDER), SEPTIC ARTHRITIS, DRAINAGE WITH CURRETAGE AND DEBRIDEMENT",3C,Existing,joint upper limb except shoulder septic arthritis drainage curretage debridement,-0.0963477421023045,-0.0513011841264168,0
14,SK713A,"ARTERY, SPINAL, ANEURYSM/ARTERIO-VENOUS MALFORMATION, EMBOLISATION",6B,Existing,artery spinal aneurysmarteriovenous malformation embolisation,-0.0620958225027003,-0.0548153542044871,0
297,SF805R,"RECTUM, TUMOR, ANTERIOR RESECTION/ABDOMINO- PERINEAL RESECTION WITH SALPINGO-OOPHORECTOMY AND TOTAL HYSTERECTOMY",6C,Existing,rectum tumor anterior resectionabdomino perineal resection salpingooophorectomy total hysterectomy,-0.078492663144841,0.009434301344827,0
273,SB820J,"JOINTS (TEMPORO-MANDIBULAR), DISLOCATION, REDUCTION WITHOUT GENERAL ANAESTHESIA",MSP,Existing,joint temporomandibular dislocation reduction without general anaesthesia,-0.0623337866505813,-0.1158160596842123,0
31,SB802B,"BONE (LOWER LIMB), DEFORMITIES, CORRECTIVE SURGERY WITH OSTEOTOMY ALONE",4A,Existing,bone lower limb deformity corrective surgery osteotomy alone,-0.1146756667391872,-0.0167311631959227,0
6,SJ700T,"THYROID, VARIOUS LESIONS, NEEDLE BIOPSY",MSP,Existing,thyroid various lesion needle biopsy,0.3822219490572094,0.1173211494647772,-1
33,SD732A,"ARTERY-PSEUDOANEURYSM, EXCISION AND LIGATION",4A,Existing,arterypseudoaneurysm excision ligation,-0.0897761220443702,0.2790722406024222,0
32,SC706T,"THORAX, RIBS, OPEN FIXATION OF RIB FRACTURES (>3 RIBS)",5A,Existing,thorax rib open fixation rib fracture 3 rib,-0.0971419652172235,-0.0983186338616809,0
33,SC707T,"THORAX, RIBS, OPEN FIXATION OF RIB FRACTURES (1 - 3 RIBS)",4A,Existing,thorax rib open fixation rib fracture 1 3 rib,-0.0971419652172235,-0.0983186338616809,0
365,SB823M,"MANDIBLE, VARIOUS LESIONS, GENIOPLASTY (SIMPLE - NOT AS A COMBINED PROCEDURE)",5A,Existing,mandible various lesion genioplasty simple combined procedure,0.2379894688105131,-0.0612077555657541,1
