S/N,Code,Description,Table,Classification,Cleaned_Description,X,Y
65,SM712L,"LARYNX, TUMOR, PARTIAL LARYNGECTOMY",5C,Existing,larynx tumor partial laryngectomy,-0.21287136,13.025953
55,SK700C,"BRACHIAL PLEXUS, BLOCK, CATHETER",1C,Existing,brachial plexus block catheter,2.8365426,16.030325
11,SM710E,"EAR, TYMPANIC MEMBRANE, PERFORATION, ROUND WINDOW REPAIR",4A,Existing,ear tympanic membrane perforation round window repair,-1.0665243,11.851959
281,SB831J,"JOINTS (UPPER LIMB, EXCEPT SHOULDER), SEPTIC ARTHRITIS, DRAINAGE WITH CURRETAGE AND DEBRIDEMENT",3C,Existing,joint upper limb except shoulder septic arthritis drainage curretage debridement,4.1112566,10.280726
14,SK713A,"ARTERY, SPINAL, ANEURYSM/ARTERIO-VENOUS MALFORMATION, EMBOLISATION",6B,Existing,artery spinal aneurysmarteriovenous malformation embolisation,-0.0160728,9.593887
297,SF805R,"RECTUM, TUMOR, ANTERIOR RESECTION/ABDOMINO- PERINEAL RESECTION WITH SALPINGO-OOPHORECTOMY AND TOTAL HYSTERECTOMY",6C,Existing,rectum tumor anterior resectionabdomino perineal resection salpingooophorectomy total hysterectomy,-0.8147185,7.811412
273,SB820J,"JOINTS (TEMPORO-MANDIBULAR), DISLOCATION, REDUCTION WITHOUT GENERAL ANAESTHESIA",MSP,Existing,joint temporomandibular dislocation reduction without general anaesthesia,-1.7156826,10.468945
31,SB802B,"BONE (LOWER LIMB), DEFORMITIES, CORRECTIVE SURGERY WITH OSTEOTOMY ALONE",4A,Existing,bone lower limb deformity corrective surgery osteotomy alone,2.824677,10.071539
6,SJ700T,"THYROID, VARIOUS LESIONS, NEEDLE BIOPSY",MSP,Existing,thyroid various lesion needle biopsy,-1.188903,10.253819
33,SD732A,"ARTERY-PSEUDOANEURYSM, EXCISION AND LIGATION",4A,Existing,arterypseudoaneurysm excision ligation,0.42532834,7.491792
32,SC706T,"THORAX, RIBS, OPEN FIXATION OF RIB FRACTURES (>3 RIBS)",5A,Existing,thorax rib open fixation rib fracture 3 rib,1.3959785,9.578383
33,SC707T,"THORAX, RIBS, OPEN FIXATION OF RIB FRACTURES (1 - 3 RIBS)",4A,Existing,thorax rib open fixation rib fracture 1 3 rib,1.4206579,9.585792
365,SB823M,"MANDIBLE, VARIOUS LESIONS, GENIOPLASTY (SIMPLE - NOT AS A COMBINED PROCEDURE)",5A,Existing,mandible various lesion genioplasty simple combined procedure,1.6431472,9.8719635
112,SI825U,"UTERUS, MALIGNANT CONDITION, MODIFIED RADICAL HYSTERECTOMY WITH/WITHOUT LYMPHADENECTOMY",6A,"Uptable, Descriptor change",uterus malignant condition modified radical hysterectomy withwithout lymphadenectomy,-2.2684376,9.514175
115,SI829U,"UTERUS, MALIGNANT CONDITIONS, TOTAL PELVIC EXENTERATION",7C,Existing,uterus malignant condition total pelvic exenteration,-2.3909636,9.630358
125,SB806F,"FACE, INTRAOSSEOUS TUMOR (SMALL), EXCISION",3A,Existing,face intraosseous tumor small excision,0.6721235,11.233332
7,SJ701T,"THYROID, VARIOUS LESIONS, IMAGING GUIDED PERCUTANEOUS ASPIRATION/BIOPSY",1B,Existing,thyroid various lesion imaging guided percutaneous aspirationbiopsy,-1.224314,10.06727
175,SB718H,"HAND, SOFT TISSUE TUMOR, EXCISION >1.5CM SIZE",2C,Existing,hand soft tissue tumor excision 15cm size,2.5838192,11.32597
181,SK802S,"SKULL, CRANIOSTENOSIS (MULTIPLE SUTURE), OPERATION",6B,Existing,skull craniostenosis multiple suture operation,-1.667688,10.936365
272,SF802P,"PALATE, CLEFT, SECONDARY REPAIR (CLOSURE OF FISTULA)",3B,Existing,palate cleft secondary repair closure fistula,0.20254669,8.596492
